ID;Название ;Мать;Информационная безапасность;ПО;Инфраструктура и оборудование;Промышленная автоматизация
1;ГП1;0;iproject1 30 1;oproject1 90 1;iproject1 50 1;oproject1 10 2
1;ГП1;0;oprogect2 20 1;iproject2 33 1;oproject2 19 1;iproject2 25 2
1;ГП1;0;iproject3 100 1;iproject3 20 1;iproject3 20 3;oproject3 11 2
1;ГП1;0;oproject4 12 1;oproject4 26 2;iproject4 13 3;oproject4 18 1
1;ГП1;0;iproject5 30 1;oproject5 15 2;iproject5 18 2;iproject5 41 2
1;ГП1;0;iproject6 17 1;iproject6 11 2;iproject6 28 2;iproject6 18 3
1;ГП1;0;iproject7 27 2;oproject7 15 3;oproject7 2 1;oproject7 20 1
1;ГП1;0;oproject8 9 2;oproject8 1 3;oproject8 5 1;oproject8 32 2
1;ГП1;0;iproject9 25 2;oproject9 3 3;iproject9 10 3;iproject9 42 3
1;ГП1;0;oproject10 18 3;iproject10 21 2;iproject10 50 2;iproject10 11 2
2;ГП2;1;iproject1 15 3;oproject1 90 1;iproject1 50 1;oproject1 10 2
2;ГП2;1;oprogect2 22 1;iproject2 33 1;oproject2 19 1;iproject2 25 2
2;ГП2;1;iproject3 15 3;iproject3 20 1;iproject3 20 3;oproject3 11 2
2;ГП2;1;oproject4 18 4;oproject4 26 2;iproject4 13 3;oproject4 18 1
2;ГП2;1;iproject5 30 1;oproject5 15 2;iproject5 18 2;iproject5 41 2
2;ГП2;1;iproject6 17 1;iproject6 11 2;oproject1 90 1;iproject6 18 3
2;ГП2;1;iproject7 27 2;oproject7 15 3;iproject2 33 1;oproject7 20 1
2;ГП2;1;oproject1 90 1;oproject8 1 3;iproject3 20 1;oproject8 32 2
2;ГП2;1;iproject2 33 1;oproject9 3 3;oproject4 26 2;iproject9 42 3
2;ГП2;1;iproject3 20 1;iproject10 21 2;oproject5 15 2;iproject10 11 2
3;ГП3;1;oproject4 26 2;oproject1 90 1;iproject6 11 2;oproject1 10 2
3;ГП3;1;oproject5 15 2;iproject2 33 1;oproject7 15 3;iproject2 25 2
3;ГП3;1;iproject6 11 2;iproject3 20 1;oproject8 1 3;oproject3 11 2
3;ГП3;1;oproject7 15 3;oproject4 26 2;oproject9 3 3;oproject4 18 1
3;ГП3;1;oproject8 1 3;oproject5 15 2;iproject5 18 2;iproject5 41 2
3;ГП3;1;oproject9 3 3;iproject6 11 2;iproject6 28 2;iproject6 18 3
3;ГП3;1;oproject10 18 3;oproject7 15 3;oproject7 2 1;oproject7 20 1
3;ГП3;1;iproject1 15 3;oproject8 1 3;oproject8 5 1;oproject8 32 2
3;ГП3;1;oprogect2 22 1;oproject9 3 3;iproject9 10 3;iproject9 42 3
3;ГП3;1;iproject3 15 3;iproject10 21 2;iproject5 30 1;iproject10 11 2
4;ГП4;1;oproject4 18 4;oproject1 90 1;iproject6 17 1;oproject1 10 2
4;ГП4;1;oproject1 90 1;iproject2 33 1;iproject7 27 2;iproject2 25 2
4;ГП4;1;iproject2 33 1;iproject3 20 1;oproject8 9 2;oproject1 90 1
4;ГП4;1;iproject3 20 1;oproject4 26 2;iproject9 25 2;iproject2 33 1
4;ГП4;1;oproject4 26 2;oproject5 15 2;oproject10 18 3;iproject3 20 1
